,Id,Loc,Ref,DeliveryDate,Quantity,Received,NetAmount,Supplier,PONumber,Date,Currency,SupplyDelay
30,10099950/Los Angeles,Los Angeles,10099950,2016-12-09,20,0,661.200028,Logipro,PO-200236,2016-07-13,USD,149 days 00:00:00.000000000
31,16401974/Los Angeles,Los Angeles,16401974,2016-06-21,10,10,389.900017,Office First,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
32,11914966/Los Angeles,Los Angeles,11914966,2015-05-08,20,20,570.200004,Office First,102196,2015-05-27,USD,19 days 00:00:00.000000000
33,11914966/Los Angeles,Los Angeles,11914966,2001-01-01,20,0,570.200004,Office First,PO-EE-BO-Atlanta,2015-10-30,USD,5415 days 00:00:00.000000000
34,11914966/Los Angeles,Los Angeles,11914966,2016-06-21,20,20,570.200004,Office First,PO-200069,2015-11-25,USD,209 days 00:00:00.000000000
35,11914966/Los Angeles,Los Angeles,11914966,2016-12-09,20,0,570.200004,Office First,PO-200236,2016-07-13,USD,149 days 00:00:00.000000000
36,14895172/Los Angeles,Los Angeles,14895172,2016-06-21,16,16,465.6000063999999,Logipro,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
37,15416092/Los Angeles,Los Angeles,15416092,2001-01-01,24,0,531.5999904,RRD,PO-200267,2016-08-18,EUR,5708 days 00:00:00.000000000
38,12409642/Los Angeles,Los Angeles,12409642,2016-04-10,24,0,1129.440034,Office First,PO-200244,2016-07-26,GBP,107 days 00:00:00.000000000
39,12409642/Los Angeles,Los Angeles,12409642,2001-01-01,4,0,188.2400056,Office First,PO-200257,2016-04-08,GBP,5576 days 00:00:00.000000000
40,12409642/Los Angeles,Los Angeles,12409642,2001-01-01,40,0,1882.400056,Office First,PO-200277,2016-08-31,GBP,5721 days 00:00:00.000000000
41,11906239/Los Angeles,Los Angeles,11906239,2015-05-08,35,35,1096.549997,Drecom,102196,2015-05-27,GBP,19 days 00:00:00.000000000
42,11906239/Los Angeles,Los Angeles,11906239,2016-06-14,100,100,3132.99999,Drecom,PO-200099,2016-07-01,GBP,17 days 00:00:00.000000000
43,11906239/Los Angeles,Los Angeles,11906239,2001-01-01,30,0,939.8999970000001,Drecom,PO-200292,2016-04-10,GBP,5578 days 00:00:00.000000000
44,11929369/Los Angeles,Los Angeles,11929369,2001-01-01,2,0,17.70000076,Logipro,PO-200271,2016-08-24,GBP,5714 days 00:00:00.000000000
45,14262733/Los Angeles,Los Angeles,14262733,2001-01-01,28,0,605.9199832,Drecom,PO-EE-BO-Atlanta,2015-10-30,GBP,5415 days 00:00:00.000000000
46,14262733/Los Angeles,Los Angeles,14262733,2016-06-21,20,20,432.799988,Drecom,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
47,12918171/Los Angeles,Los Angeles,12918171,2001-01-01,2,0,9.680000300000001,Drecom,PO-200257,2016-04-08,EUR,5576 days 00:00:00.000000000
48,15410849/Los Angeles,Los Angeles,15410849,2015-05-08,16,16,938.2399903999999,RRD,102196,2015-05-27,USD,19 days 00:00:00.000000000
49,15410849/Los Angeles,Los Angeles,15410849,2016-06-14,20,20,1172.799988,RRD,PO-200099,2016-07-01,USD,17 days 00:00:00.000000000
50,15410849/Los Angeles,Los Angeles,15410849,2016-12-09,40,0,2345.599976,RRD,PO-200236,2016-07-13,USD,149 days 00:00:00.000000000
51,15410849/Los Angeles,Los Angeles,15410849,2001-01-01,22,0,1290.0799869999998,RRD,PO-200292,2016-04-10,USD,5578 days 00:00:00.000000000
52,13498766/Los Angeles,Los Angeles,13498766,2015-05-08,36,36,666.0,Logipro,102196,2015-05-27,EUR,19 days 00:00:00.000000000
53,13498766/Los Angeles,Los Angeles,13498766,2016-06-21,30,30,555.0,Logipro,PO-200069,2015-11-25,EUR,209 days 00:00:00.000000000
54,13498766/Los Angeles,Los Angeles,13498766,2016-06-20,60,60,1110.0,Logipro,PO-200081,2015-10-12,EUR,252 days 00:00:00.000000000
55,13498766/Los Angeles,Los Angeles,13498766,2016-12-09,30,0,555.0,Logipro,PO-200236,2016-07-13,EUR,149 days 00:00:00.000000000
56,13498766/Los Angeles,Los Angeles,13498766,2001-01-01,30,0,555.0,Logipro,PO-200292,2016-04-10,EUR,5578 days 00:00:00.000000000
57,10592438/Los Angeles,Los Angeles,10592438,2016-07-29,36,36,123.84000220000001,Logipro,PO-200243,2016-07-26,EUR,3 days 00:00:00.000000000
58,16089695/Los Angeles,Los Angeles,16089695,2016-07-29,34,34,116.960002,Logipro,PO-200243,2016-07-26,GBP,3 days 00:00:00.000000000
59,15880950/Los Angeles,Los Angeles,15880950,2016-12-09,40,0,1078.000032,RRD,PO-200236,2016-07-13,EUR,149 days 00:00:00.000000000
60,15880950/Los Angeles,Los Angeles,15880950,2001-01-01,24,0,646.8000192000001,RRD,PO-200292,2016-04-10,EUR,5578 days 00:00:00.000000000
61,14548487/Los Angeles,Los Angeles,14548487,2016-06-14,20,20,539.000016,Drecom,PO-200099,2016-07-01,EUR,17 days 00:00:00.000000000
62,14548487/Los Angeles,Los Angeles,14548487,2016-12-09,20,0,539.000016,Drecom,PO-200236,2016-07-13,EUR,149 days 00:00:00.000000000
63,14548487/Los Angeles,Los Angeles,14548487,2001-01-01,32,0,862.4000256,Drecom,PO-200292,2016-04-10,EUR,5578 days 00:00:00.000000000
64,12753764/Los Angeles,Los Angeles,12753764,2016-06-20,60,60,688.79997,FHL,PO-200081,2015-10-12,USD,252 days 00:00:00.000000000
65,12753764/Los Angeles,Los Angeles,12753764,2016-06-14,60,60,688.79997,FHL,PO-200099,2016-07-01,USD,17 days 00:00:00.000000000
66,13856231/Los Angeles,Los Angeles,13856231,2001-01-01,30,0,1327.200051,SuperSupply,PO-200267,2016-08-18,GBP,5708 days 00:00:00.000000000
67,12569093/Los Angeles,Los Angeles,12569093,2016-04-10,40,0,895.199968,Office First,PO-200244,2016-07-26,GBP,107 days 00:00:00.000000000
68,12561507/Los Angeles,Los Angeles,12561507,2015-05-08,20,20,586.8000040000001,FHL,102196,2015-05-27,GBP,19 days 00:00:00.000000000
69,12561507/Los Angeles,Los Angeles,12561507,2016-06-21,40,40,1173.6000080000001,FHL,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
70,12561507/Los Angeles,Los Angeles,12561507,2016-06-20,60,60,1760.400012,FHL,PO-200081,2015-10-12,GBP,252 days 00:00:00.000000000
71,12561507/Los Angeles,Los Angeles,12561507,2016-06-14,40,40,1173.6000080000001,FHL,PO-200099,2016-07-01,GBP,17 days 00:00:00.000000000
72,12561507/Los Angeles,Los Angeles,12561507,2016-12-09,4,0,117.3600008,FHL,PO-200236,2016-07-13,GBP,149 days 00:00:00.000000000
73,12561507/Los Angeles,Los Angeles,12561507,2016-04-10,36,0,1056.240007,FHL,PO-200244,2016-07-26,GBP,107 days 00:00:00.000000000
74,12572098/Los Angeles,Los Angeles,12572098,2016-06-14,16,16,633.9199824,Logipro,PO-200099,2016-07-01,GBP,17 days 00:00:00.000000000
75,13532626/Los Angeles,Los Angeles,13532626,2001-01-01,50,0,2982.500075,SuperSupply,PO-200225,2016-08-06,GBP,5696 days 00:00:00.000000000
76,14343336/Los Angeles,Los Angeles,14343336,2001-01-01,100,0,4940.00015,Drecom,PO-200225,2016-08-06,EUR,5696 days 00:00:00.000000000
77,10764226/Los Angeles,Los Angeles,10764226,2016-06-14,12,12,208.4400096,SuperSupply,PO-200099,2016-07-01,USD,17 days 00:00:00.000000000
78,14367353/Los Angeles,Los Angeles,14367353,2015-05-08,35,35,1477.000028,Drecom,102196,2015-05-27,GBP,19 days 00:00:00.000000000
79,10014552/Los Angeles,Los Angeles,10014552,2001-01-01,3,0,22.10999967,FHL,PO-200271,2016-08-24,GBP,5714 days 00:00:00.000000000
80,11557472/Los Angeles,Los Angeles,11557472,2016-03-22,235,235,5733.999906,SuperSupply,PO-200077,2015-04-12,GBP,345 days 00:00:00.000000000
81,13594853/Los Angeles,Los Angeles,13594853,2016-03-22,235,234,5733.999906,Drecom,PO-200077,2015-04-12,USD,345 days 00:00:00.000000000
82,13336372/Los Angeles,Los Angeles,13336372,2001-01-01,4,0,122.239998,Office First,PO-200257,2016-04-08,EUR,5576 days 00:00:00.000000000
83,15808622/Los Angeles,Los Angeles,15808622,2016-04-10,24,0,1026.960022,Drecom,PO-200244,2016-07-26,GBP,107 days 00:00:00.000000000
84,15808622/Los Angeles,Los Angeles,15808622,2001-01-01,20,0,855.800018,Drecom,PO-200277,2016-08-31,GBP,5721 days 00:00:00.000000000
85,15034737/Los Angeles,Los Angeles,15034737,2016-04-10,24,0,1196.399964,Logipro,PO-200244,2016-07-26,EUR,107 days 00:00:00.000000000
86,13452029/Los Angeles,Los Angeles,13452029,2016-04-10,24,0,1196.399964,RRD,PO-200244,2016-07-26,USD,107 days 00:00:00.000000000
87,16595101/Los Angeles,Los Angeles,16595101,2016-12-09,20,0,392.599984,FHL,PO-200236,2016-07-13,EUR,149 days 00:00:00.000000000
88,16595101/Los Angeles,Los Angeles,16595101,2001-01-01,24,0,471.1199808,FHL,PO-200292,2016-04-10,EUR,5578 days 00:00:00.000000000
89,16412231/Los Angeles,Los Angeles,16412231,2016-09-13,150,0,3492.0001049999996,Office First,PO-200219,2016-07-06,GBP,69 days 00:00:00.000000000
90,11800905/Los Angeles,Los Angeles,11800905,2016-07-29,6,6,107.2799952,Office First,PO-200243,2016-07-26,USD,3 days 00:00:00.000000000
91,14289423/Los Angeles,Los Angeles,14289423,2016-12-09,6,0,349.5,Drecom,PO-200236,2016-07-13,EUR,149 days 00:00:00.000000000
92,12572752/Los Angeles,Los Angeles,12572752,2016-06-20,40,40,2116.399992,FHL,PO-200081,2015-10-12,EUR,252 days 00:00:00.000000000
93,12572752/Los Angeles,Los Angeles,12572752,2001-01-01,1,0,52.9099998,FHL,PO-200271,2016-08-24,EUR,5714 days 00:00:00.000000000
94,12572752/Los Angeles,Los Angeles,12572752,2001-01-01,20,0,1058.199996,FHL,PO-200292,2016-04-10,EUR,5578 days 00:00:00.000000000
95,15519926/Los Angeles,Los Angeles,15519926,2016-06-20,40,40,2116.399992,Logipro,PO-200081,2015-10-12,USD,252 days 00:00:00.000000000
96,15519926/Los Angeles,Los Angeles,15519926,2001-01-01,20,0,1058.199996,Logipro,PO-200292,2016-04-10,USD,5578 days 00:00:00.000000000
97,11097836/Los Angeles,Los Angeles,11097836,2016-06-20,20,20,499.19998200000003,SuperSupply,PO-200081,2015-10-12,GBP,252 days 00:00:00.000000000
98,11097836/Los Angeles,Los Angeles,11097836,2001-01-01,32,0,798.7199712,SuperSupply,PO-200292,2016-04-10,GBP,5578 days 00:00:00.000000000
99,15092233/Los Angeles,Los Angeles,15092233,2016-06-20,20,20,499.19998200000003,Drecom,PO-200081,2015-10-12,EUR,252 days 00:00:00.000000000
100,15092233/Los Angeles,Los Angeles,15092233,2001-01-01,32,0,798.7199712,Drecom,PO-200292,2016-04-10,EUR,5578 days 00:00:00.000000000
101,14789055/Los Angeles,Los Angeles,14789055,2015-05-08,40,40,920.0,FHL,102196,2015-05-27,GBP,19 days 00:00:00.000000000
102,14789055/Los Angeles,Los Angeles,14789055,2016-06-21,40,40,920.0,FHL,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
103,14789055/Los Angeles,Los Angeles,14789055,2016-06-20,40,40,920.0,FHL,PO-200081,2015-10-12,GBP,252 days 00:00:00.000000000
104,14789055/Los Angeles,Los Angeles,14789055,2016-12-09,50,0,1150.0,FHL,PO-200236,2016-07-13,GBP,149 days 00:00:00.000000000
105,14789055/Los Angeles,Los Angeles,14789055,2016-04-10,20,0,460.0,FHL,PO-200244,2016-07-26,GBP,107 days 00:00:00.000000000
106,14789055/Los Angeles,Los Angeles,14789055,2001-01-01,40,0,920.0,FHL,PO-200277,2016-08-31,GBP,5721 days 00:00:00.000000000
107,13474623/Los Angeles,Los Angeles,13474623,2016-03-22,150,150,9602.99949,Drecom,PO-200077,2015-04-12,GBP,345 days 00:00:00.000000000
108,13474623/Los Angeles,Los Angeles,13474623,2016-09-13,200,0,12803.99932,Drecom,PO-200219,2016-07-06,GBP,69 days 00:00:00.000000000
109,12564089/Los Angeles,Los Angeles,12564089,2016-04-10,12,0,369.0,FHL,PO-200244,2016-07-26,EUR,107 days 00:00:00.000000000
110,13107618/Los Angeles,Los Angeles,13107618,2016-06-20,14,14,688.3799748,Logipro,PO-200081,2015-10-12,GBP,252 days 00:00:00.000000000
111,16430058/Los Angeles,Los Angeles,16430058,2016-06-22,200,200,571.9999799999999,Office First,PO-200193,2016-04-20,EUR,63 days 00:00:00.000000000
112,16430058/Los Angeles,Los Angeles,16430058,2016-07-29,300,300,857.99997,Office First,PO-200243,2016-07-26,EUR,3 days 00:00:00.000000000
113,16430058/Los Angeles,Los Angeles,16430058,2001-01-01,52,0,148.7199948,Office First,PO-200271,2016-08-24,EUR,5714 days 00:00:00.000000000
114,11780124/Los Angeles,Los Angeles,11780124,2016-06-22,500,500,1759.9999899999998,SuperSupply,PO-200193,2016-04-20,EUR,63 days 00:00:00.000000000
115,11780124/Los Angeles,Los Angeles,11780124,2001-01-01,178,0,626.5599963999999,SuperSupply,PO-200257,2016-04-08,EUR,5576 days 00:00:00.000000000
116,10255812/Los Angeles,Los Angeles,10255812,2016-06-22,200,200,200.0,RRD,PO-200193,2016-04-20,GBP,63 days 00:00:00.000000000
117,10255812/Los Angeles,Los Angeles,10255812,2016-07-29,300,300,300.0,RRD,PO-200243,2016-07-26,GBP,3 days 00:00:00.000000000
118,10255812/Los Angeles,Los Angeles,10255812,2001-01-01,65,0,65.0,RRD,PO-200271,2016-08-24,GBP,5714 days 00:00:00.000000000
119,16187687/Los Angeles,Los Angeles,16187687,2016-04-10,40,0,558.800012,Logipro,PO-200244,2016-07-26,GBP,107 days 00:00:00.000000000
120,16187687/Los Angeles,Los Angeles,16187687,2001-01-01,18,0,251.4600054,Logipro,PO-200292,2016-04-10,GBP,5578 days 00:00:00.000000000
121,11045096/Los Angeles,Los Angeles,11045096,2001-01-01,20,0,738.399964,Logipro,PO-200277,2016-08-31,GBP,5721 days 00:00:00.000000000
122,13985896/Los Angeles,Los Angeles,13985896,2001-01-01,32,0,1457.9200449999998,Drecom,PO-200277,2016-08-31,GBP,5721 days 00:00:00.000000000
123,14901389/Los Angeles,Los Angeles,14901389,2016-07-29,14,14,437.219993,Logipro,PO-200243,2016-07-26,USD,3 days 00:00:00.000000000
124,16363786/Los Angeles,Los Angeles,16363786,2016-04-10,20,0,467.999992,Drecom,PO-200244,2016-07-26,USD,107 days 00:00:00.000000000
125,16363786/Los Angeles,Los Angeles,16363786,2001-01-01,1,0,23.3999996,Drecom,PO-200257,2016-04-08,USD,5576 days 00:00:00.000000000
126,16018733/Los Angeles,Los Angeles,16018733,2001-01-01,20,0,407.200012,RRD,PO-EE-BO-Atlanta,2015-10-30,USD,5415 days 00:00:00.000000000
127,16018733/Los Angeles,Los Angeles,16018733,2016-06-21,12,12,244.32000719999996,RRD,PO-200069,2015-11-25,USD,209 days 00:00:00.000000000
128,16018733/Los Angeles,Los Angeles,16018733,2001-01-01,24,0,488.6400143999999,RRD,PO-200277,2016-08-31,USD,5721 days 00:00:00.000000000
129,14099484/Los Angeles,Los Angeles,14099484,2016-06-21,10,10,317.399998,Drecom,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
130,14099484/Los Angeles,Los Angeles,14099484,2016-06-20,20,20,634.799996,Drecom,PO-200081,2015-10-12,GBP,252 days 00:00:00.000000000
131,14099484/Los Angeles,Los Angeles,14099484,2001-01-01,26,0,825.2399948,Drecom,PO-200267,2016-08-18,GBP,5708 days 00:00:00.000000000
132,16277400/Los Angeles,Los Angeles,16277400,2001-01-01,40,0,901.6000359999999,SuperSupply,PO-200267,2016-08-18,USD,5708 days 00:00:00.000000000
133,12451991/Los Angeles,Los Angeles,12451991,2001-01-01,40,0,901.6000359999999,RRD,PO-200267,2016-08-18,GBP,5708 days 00:00:00.000000000
134,13060917/Los Angeles,Los Angeles,13060917,2016-06-14,12,12,419.0399784,RRD,PO-200099,2016-07-01,EUR,17 days 00:00:00.000000000
135,13060917/Los Angeles,Los Angeles,13060917,2001-01-01,20,0,698.399964,RRD,PO-200267,2016-08-18,EUR,5708 days 00:00:00.000000000
136,14411646/Los Angeles,Los Angeles,14411646,2001-01-01,20,0,369.399986,Drecom,PO-200267,2016-08-18,USD,5708 days 00:00:00.000000000
137,16188573/Los Angeles,Los Angeles,16188573,2001-01-01,20,0,369.399986,FHL,PO-200267,2016-08-18,GBP,5708 days 00:00:00.000000000
138,15641711/New-York,New-York,15641711,2016-12-04,800,800,2639.99996,FHL,PO-200121,2016-01-25,USD,314 days 00:00:00.000000000
139,15641711/New-York,New-York,15641711,2001-01-01,100,0,329.999995,FHL,PO-200123,2016-01-26,USD,5503 days 00:00:00.000000000
140,16075571/New-York,New-York,16075571,2016-06-22,200,200,600.0,Logipro,PO-200131,2016-09-02,GBP,72 days 00:00:00.000000000
141,16075571/New-York,New-York,16075571,2016-01-08,2400,2300,7200.0,Logipro,PO-200240,2016-07-19,GBP,193 days 00:00:00.000000000
142,16075571/New-York,New-York,16075571,2016-05-08,2100,2100,6300.0,Logipro,PO-200246,2016-07-28,GBP,81 days 00:00:00.000000000
143,14759689/New-York,New-York,14759689,2016-08-02,4000,4000,13079.99992,Drecom,PO-200101,2016-12-01,GBP,121 days 00:00:00.000000000
144,14095459/New-York,New-York,14095459,2015-10-28,3,3,139.6499976,Drecom,PO-200031,2015-10-13,USD,15 days 00:00:00.000000000
145,14095459/New-York,New-York,14095459,2016-01-18,200,200,9309.99984,Drecom,PO-200088,2015-12-17,USD,32 days 00:00:00.000000000
146,14095459/New-York,New-York,14095459,2016-08-29,100,100,4654.99992,Drecom,PO-200178,2016-04-04,USD,147 days 00:00:00.000000000
147,13908259/New-York,New-York,13908259,2016-01-18,300,300,10200.0,Drecom,PO-200088,2015-12-17,EUR,32 days 00:00:00.000000000
148,15586718/New-York,New-York,15586718,2016-01-18,14,14,798.0,Drecom,PO-200088,2015-12-17,GBP,32 days 00:00:00.000000000
149,15586718/New-York,New-York,15586718,2016-01-04,110,110,6270.0,Drecom,PO-200118,2016-01-21,GBP,17 days 00:00:00.000000000
150,15586718/New-York,New-York,15586718,2016-07-25,200,200,11400.0,Drecom,PO-200164,2016-03-18,GBP,129 days 00:00:00.000000000
151,15586718/New-York,New-York,15586718,2001-01-01,200,0,11400.0,Drecom,PO-200284,2016-09-20,GBP,5741 days 00:00:00.000000000
152,15586718/New-York,New-York,15586718,2001-01-01,100,0,5700.0,Drecom,PO-200301,2016-10-26,GBP,5777 days 00:00:00.000000000
153,10095232/New-York,New-York,10095232,2015-05-08,150,150,4002.0000450000002,Office First,102197,2015-05-27,EUR,19 days 00:00:00.000000000
154,10095232/New-York,New-York,10095232,2016-01-15,200,200,5336.00006,Office First,PO-200048,2015-05-11,EUR,249 days 00:00:00.000000000
155,10095232/New-York,New-York,10095232,2016-09-02,400,400,10672.00012,Office First,PO-200072,2015-03-12,EUR,540 days 00:00:00.000000000
156,10095232/New-York,New-York,10095232,2016-10-02,400,400,10672.00012,Office First,PO-200080,2015-10-12,EUR,356 days 00:00:00.000000000
157,10095232/New-York,New-York,10095232,2016-02-18,300,300,8004.0000900000005,Office First,PO-200083,2015-12-15,EUR,65 days 00:00:00.000000000
158,10095232/New-York,New-York,10095232,2016-05-20,200,200,5336.00006,Office First,PO-200096,2016-04-01,EUR,49 days 00:00:00.000000000
159,11481389/New-York,New-York,11481389,2015-11-18,60,60,794.399988,SuperSupply,PO-200025,2015-09-24,GBP,55 days 00:00:00.000000000
160,11481389/New-York,New-York,11481389,2015-12-22,59,59,781.1599882,SuperSupply,PO-200082,2015-12-14,GBP,8 days 00:00:00.000000000
161,11481389/New-York,New-York,11481389,2016-05-04,30,30,397.199994,SuperSupply,PO-200112,2016-01-20,GBP,105 days 00:00:00.000000000
162,10422793/New-York,New-York,10422793,2015-11-18,60,60,794.399988,RRD,PO-200025,2015-09-24,USD,55 days 00:00:00.000000000
163,10422793/New-York,New-York,10422793,2015-12-22,59,59,781.1599882,RRD,PO-200082,2015-12-14,USD,8 days 00:00:00.000000000
164,10422793/New-York,New-York,10422793,2015-12-22,30,30,397.199994,RRD,PO-200089,2015-12-18,USD,4 days 00:00:00.000000000
165,10422793/New-York,New-York,10422793,2016-05-04,30,30,397.199994,RRD,PO-200112,2016-01-20,USD,105 days 00:00:00.000000000
166,15431986/New-York,New-York,15431986,2015-10-29,42,42,509.46000419999996,Logipro,PO-200022,2015-11-09,GBP,11 days 00:00:00.000000000
167,15431986/New-York,New-York,15431986,2015-12-31,30,30,363.90000299999997,Logipro,PO-200034,2015-10-22,GBP,70 days 00:00:00.000000000
168,15431986/New-York,New-York,15431986,2016-12-04,12,12,145.5600012,Logipro,PO-200113,2016-01-20,GBP,319 days 00:00:00.000000000
169,15431986/New-York,New-York,15431986,2016-05-26,24,24,291.1200024,Logipro,PO-200174,2016-03-29,GBP,58 days 00:00:00.000000000
170,15431986/New-York,New-York,15431986,2016-11-08,42,42,509.46000419999996,Logipro,PO-200230,2016-06-21,GBP,140 days 00:00:00.000000000
171,15431986/New-York,New-York,15431986,2001-01-01,30,0,363.90000299999997,Logipro,PO-200293,2016-04-10,GBP,5578 days 00:00:00.000000000
172,15431986/New-York,New-York,15431986,2001-01-01,42,0,509.46000419999996,Logipro,PO-200302,2016-10-26,GBP,5777 days 00:00:00.000000000
173,12768029/New-York,New-York,12768029,2015-10-30,4,4,72.8000032,FHL,PO-200019,2015-09-09,USD,51 days 00:00:00.000000000
174,12768029/New-York,New-York,12768029,2015-10-29,20,20,364.000016,FHL,PO-200022,2015-11-09,USD,11 days 00:00:00.000000000
175,12768029/New-York,New-York,12768029,2015-12-31,24,24,436.8000192,FHL,PO-200034,2015-10-22,USD,70 days 00:00:00.000000000
176,12768029/New-York,New-York,12768029,2016-12-04,32,32,582.4000256,FHL,PO-200104,2016-12-01,USD,3 days 00:00:00.000000000
177,12768029/New-York,New-York,12768029,2016-05-08,1,1,18.2000008,FHL,PO-200246,2016-07-28,USD,81 days 00:00:00.000000000
178,12768029/New-York,New-York,12768029,2001-01-01,24,0,436.8000192,FHL,PO-200293,2016-04-10,USD,5578 days 00:00:00.000000000
179,14523293/New-York,New-York,14523293,2015-10-26,24,24,461.75999519999993,Drecom,PO-200017,2015-08-31,USD,56 days 00:00:00.000000000
180,14523293/New-York,New-York,14523293,2016-05-04,24,24,461.75999519999993,Drecom,PO-200112,2016-01-20,USD,105 days 00:00:00.000000000
181,14523293/New-York,New-York,14523293,2016-04-25,12,12,230.87999759999997,Drecom,PO-200138,2016-02-15,USD,70 days 00:00:00.000000000
182,14523293/New-York,New-York,14523293,2016-07-26,40,40,769.599992,Drecom,PO-200204,2016-12-05,USD,132 days 00:00:00.000000000
183,15343952/New-York,New-York,15343952,2016-01-27,150,150,3429.00009,Logipro,PO-200032,2015-10-20,GBP,99 days 00:00:00.000000000
