,Id,Loc,Ref,DeliveryDate,Quantity,Received,NetAmount,Supplier,PONumber,Date,Currency,LeadTime,AvgLT,sigmaLT,DailyUsage,Demand,Davg,sigmaD,Reorder Point
31,10095232/Los Angeles,Los Angeles,10095232,2015-05-08,150,150,4002.0000450000002,Office First,102196,2015-05-27,EUR,19,144,165,2,38,288.15384615384613,331,45143
32,10095232/Los Angeles,Los Angeles,10095232,2016-06-21,100,100,2668.00003,Office First,PO-200069,2015-11-25,EUR,209,144,165,2,418,288.15384615384613,331,45523
33,10095232/Los Angeles,Los Angeles,10095232,2016-06-20,100,100,2668.00003,Office First,PO-200081,2015-10-12,EUR,252,144,165,2,504,288.15384615384613,331,45609
34,10095232/New-York,New-York,10095232,2015-05-08,150,150,4002.0000450000002,Office First,102197,2015-05-27,EUR,19,144,165,2,38,288.15384615384613,331,45143
35,10095232/New-York,New-York,10095232,2016-01-15,200,200,5336.00006,Office First,PO-200048,2015-05-11,EUR,249,144,165,2,498,288.15384615384613,331,45603
36,10095232/New-York,New-York,10095232,2016-09-02,400,400,10672.00012,Office First,PO-200072,2015-03-12,EUR,540,144,165,2,1080,288.15384615384613,331,46185
37,10095232/New-York,New-York,10095232,2016-10-02,400,400,10672.00012,Office First,PO-200080,2015-10-12,EUR,356,144,165,2,712,288.15384615384613,331,45817
38,10095232/New-York,New-York,10095232,2016-02-18,300,300,8004.0000900000005,Office First,PO-200083,2015-12-15,EUR,65,144,165,2,130,288.15384615384613,331,45235
39,10095232/New-York,New-York,10095232,2016-05-20,200,200,5336.00006,Office First,PO-200096,2016-04-01,EUR,49,144,165,2,98,288.15384615384613,331,45203
40,10095232/Chicago,Chicago,10095232,2015-05-08,150,150,4002.0000450000002,Office First,102195,2015-05-27,EUR,19,144,165,2,38,288.15384615384613,331,45143
41,10095232/Chicago,Chicago,10095232,2015-12-22,200,200,5336.00006,Office First,PO-200044,2015-10-30,EUR,53,144,165,2,106,288.15384615384613,331,45211
42,10095232/Chicago,Chicago,10095232,2015-12-31,200,200,5336.00006,Office First,PO-200052,2015-12-11,EUR,20,144,165,2,40,288.15384615384613,331,45145
43,10095232/Chicago,Chicago,10095232,2016-07-29,250,250,6670.000075,Office First,PO-200217,2016-07-06,EUR,23,144,165,2,46,288.15384615384613,331,45151
44,11481389/Los Angeles,Los Angeles,11481389,2001-01-01,2,0,26.47999960000001,SuperSupply,PO-200257,2016-04-08,GBP,5576,1200,2448,2,11152,2400.0,4896,37286
45,11481389/New-York,New-York,11481389,2015-11-18,60,60,794.399988,SuperSupply,PO-200025,2015-09-24,GBP,55,1200,2448,2,110,2400.0,4896,26244
46,11481389/New-York,New-York,11481389,2015-12-22,59,59,781.1599882,SuperSupply,PO-200082,2015-12-14,GBP,8,1200,2448,2,16,2400.0,4896,26150
47,11481389/New-York,New-York,11481389,2016-05-04,30,30,397.199994,SuperSupply,PO-200112,2016-01-20,GBP,105,1200,2448,2,210,2400.0,4896,26344
48,11481389/Chicago,Chicago,11481389,2016-08-01,42,42,556.0799916,SuperSupply,PO-200062,2015-11-19,GBP,256,1200,2448,2,512,2400.0,4896,26646
49,15431986/Los Angeles,Los Angeles,15431986,2016-06-21,24,24,291.1200024,Logipro,PO-200069,2015-11-25,GBP,209,1657,2591,2,418,3315.2727272727275,5182,41197
50,15431986/Los Angeles,Los Angeles,15431986,2001-01-01,6,0,72.7800006,Logipro,PO-200271,2016-08-24,GBP,5714,1657,2591,2,11428,3315.2727272727275,5182,52207
51,15431986/New-York,New-York,15431986,2015-10-29,42,42,509.46000419999996,Logipro,PO-200022,2015-11-09,GBP,11,1657,2591,2,22,3315.2727272727275,5182,40801
52,15431986/New-York,New-York,15431986,2015-12-31,30,30,363.90000299999997,Logipro,PO-200034,2015-10-22,GBP,70,1657,2591,2,140,3315.2727272727275,5182,40919
53,15431986/New-York,New-York,15431986,2016-12-04,12,12,145.5600012,Logipro,PO-200113,2016-01-20,GBP,319,1657,2591,2,638,3315.2727272727275,5182,41417
54,15431986/New-York,New-York,15431986,2016-05-26,24,24,291.1200024,Logipro,PO-200174,2016-03-29,GBP,58,1657,2591,2,116,3315.2727272727275,5182,40895
55,15431986/New-York,New-York,15431986,2016-11-08,42,42,509.46000419999996,Logipro,PO-200230,2016-06-21,GBP,140,1657,2591,2,280,3315.2727272727275,5182,41059
56,15431986/New-York,New-York,15431986,2001-01-01,30,0,363.90000299999997,Logipro,PO-200293,2016-04-10,GBP,5578,1657,2591,2,11156,3315.2727272727275,5182,51935
57,15431986/New-York,New-York,15431986,2001-01-01,42,0,509.46000419999996,Logipro,PO-200302,2016-10-26,GBP,5777,1657,2591,2,11554,3315.2727272727275,5182,52333
58,15431986/Chicago,Chicago,15431986,2016-05-02,30,30,363.90000299999997,Logipro,PO-200091,2015-12-22,GBP,132,1657,2591,2,264,3315.2727272727275,5182,41043
59,15431986/Chicago,Chicago,15431986,2016-11-05,42,42,509.46000419999996,Logipro,PO-200172,2016-03-24,GBP,226,1657,2591,2,452,3315.2727272727275,5182,41231
60,12768029/Los Angeles,Los Angeles,12768029,2016-06-14,12,12,218.4000096,FHL,PO-200099,2016-07-01,USD,17,1572,2609,2,34,3145.2727272727275,5218,45879
61,12768029/Los Angeles,Los Angeles,12768029,2001-01-01,2,0,36.4000016,FHL,PO-200257,2016-04-08,USD,5576,1572,2609,2,11152,3145.2727272727275,5218,56997
62,12768029/New-York,New-York,12768029,2015-10-30,4,4,72.8000032,FHL,PO-200019,2015-09-09,USD,51,1572,2609,2,102,3145.2727272727275,5218,45947
63,12768029/New-York,New-York,12768029,2015-10-29,20,20,364.000016,FHL,PO-200022,2015-11-09,USD,11,1572,2609,2,22,3145.2727272727275,5218,45867
64,12768029/New-York,New-York,12768029,2015-12-31,24,24,436.8000192,FHL,PO-200034,2015-10-22,USD,70,1572,2609,2,140,3145.2727272727275,5218,45985
65,12768029/New-York,New-York,12768029,2016-12-04,32,32,582.4000256,FHL,PO-200104,2016-12-01,USD,3,1572,2609,2,6,3145.2727272727275,5218,45851
66,12768029/New-York,New-York,12768029,2016-05-08,1,1,18.2000008,FHL,PO-200246,2016-07-28,USD,81,1572,2609,2,162,3145.2727272727275,5218,46007
67,12768029/New-York,New-York,12768029,2001-01-01,24,0,436.8000192,FHL,PO-200293,2016-04-10,USD,5578,1572,2609,2,11156,3145.2727272727275,5218,57001
68,12768029/Chicago,Chicago,12768029,2015-12-31,16,16,291.2000128,FHL,PO-200052,2015-12-11,USD,20,1572,2609,2,40,3145.2727272727275,5218,45885
69,12768029/Chicago,Chicago,12768029,2016-07-26,16,16,291.2000128,FHL,PO-200200,2016-03-05,USD,143,1572,2609,2,286,3145.2727272727275,5218,46131
70,12768029/Chicago,Chicago,12768029,2001-01-01,12,0,218.4000096,FHL,PO-200290,2016-09-28,USD,5749,1572,2609,2,11498,3145.2727272727275,5218,57343
71,15343952/Los Angeles,Los Angeles,15343952,2001-01-01,120,0,2743.200072,Logipro,PO-EE-BO-Atlanta,2015-10-30,GBP,5415,1915,2755,2,10830,3830.888888888889,5510,42496
72,15343952/Los Angeles,Los Angeles,15343952,2016-04-10,40,0,914.400024,Logipro,PO-200244,2016-07-26,GBP,107,1915,2755,2,214,3830.888888888889,5510,31880
73,15343952/New-York,New-York,15343952,2016-01-27,150,150,3429.00009,Logipro,PO-200032,2015-10-20,GBP,99,1915,2755,2,198,3830.888888888889,5510,31864
74,15343952/New-York,New-York,15343952,2016-05-19,150,150,3429.00009,Logipro,PO-200140,2016-02-16,GBP,93,1915,2755,2,186,3830.888888888889,5510,31852
75,15343952/New-York,New-York,15343952,2001-01-01,160,0,3657.600096,Logipro,PO-200253,2016-04-08,GBP,5576,1915,2755,2,11152,3830.888888888889,5510,42818
76,15343952/Chicago,Chicago,15343952,2016-01-15,150,150,3429.00009,Logipro,PO-200033,2015-10-20,GBP,87,1915,2755,2,174,3830.888888888889,5510,31840
77,15343952/Chicago,Chicago,15343952,2016-04-05,150,150,3429.00009,Logipro,PO-200141,2016-02-16,GBP,49,1915,2755,2,98,3830.888888888889,5510,31764
78,15343952/Chicago,Chicago,15343952,2016-10-27,80,40,1828.800048,Logipro,PO-200281,2016-09-15,GBP,42,1915,2755,2,84,3830.888888888889,5510,31750
79,15343952/Chicago,Chicago,15343952,2001-01-01,48,0,1097.280029,Logipro,PO-200298,2016-10-20,GBP,5771,1915,2755,2,11542,3830.888888888889,5510,43208
80,14693335/Los Angeles,Los Angeles,14693335,2016-04-10,32,0,1126.719971,Drecom,PO-200244,2016-07-26,USD,107,942,2100,2,214,1884.6153846153845,4201,20798
81,14693335/New-York,New-York,14693335,2015-05-10,12,12,422.5199892,Drecom,PO-200006,2015-03-08,USD,63,942,2100,2,126,1884.6153846153845,4201,20710
82,14693335/New-York,New-York,14693335,2015-10-29,20,20,704.199982,Drecom,PO-200022,2015-11-09,USD,11,942,2100,2,22,1884.6153846153845,4201,20606
83,14693335/New-York,New-York,14693335,2015-12-31,24,24,845.0399784,Drecom,PO-200034,2015-10-22,USD,70,942,2100,2,140,1884.6153846153845,4201,20724
84,14693335/New-York,New-York,14693335,2016-01-15,20,20,704.199982,Drecom,PO-200048,2015-05-11,USD,249,942,2100,2,498,1884.6153846153845,4201,21082
85,14693335/New-York,New-York,14693335,2016-06-21,32,32,1126.719971,Drecom,PO-200196,2016-04-25,USD,57,942,2100,2,114,1884.6153846153845,4201,20698
86,14693335/New-York,New-York,14693335,2016-11-08,48,48,1690.079957,Drecom,PO-200229,2016-06-17,USD,144,942,2100,2,288,1884.6153846153845,4201,20872
87,14693335/New-York,New-York,14693335,2016-10-28,12,0,422.5199892,Drecom,PO-200248,2016-07-29,USD,91,942,2100,2,182,1884.6153846153845,4201,20766
88,14693335/New-York,New-York,14693335,2001-01-01,12,0,422.5199892,Drecom,PO-200293,2016-04-10,USD,5578,942,2100,2,11156,1884.6153846153845,4201,31740
89,14693335/New-York,New-York,14693335,2001-01-01,60,0,2112.5999460000007,Drecom,PO-200296,2016-10-17,USD,5768,942,2100,2,11536,1884.6153846153845,4201,32120
90,14693335/Chicago,Chicago,14693335,2015-12-31,16,16,563.3599856000002,Drecom,PO-200052,2015-12-11,USD,20,942,2100,2,40,1884.6153846153845,4201,20624
91,14693335/Chicago,Chicago,14693335,2016-05-19,40,40,1408.399964,Drecom,PO-200176,2016-03-30,USD,50,942,2100,2,100,1884.6153846153845,4201,20684
92,14693335/Chicago,Chicago,14693335,2016-10-27,40,20,1408.399964,Drecom,PO-200281,2016-09-15,USD,42,942,2100,2,84,1884.6153846153845,4201,20668
93,11711636/Los Angeles,Los Angeles,11711636,2001-01-01,40,0,996.399992,RRD,PO-EE-BO-Atlanta,2015-10-30,USD,5415,1133,2208,2,10830,2266.0,4417,56418
94,11711636/Los Angeles,Los Angeles,11711636,2016-06-21,16,16,398.5599968,RRD,PO-200069,2015-11-25,USD,209,1133,2208,2,418,2266.0,4417,46006
95,11711636/Los Angeles,Los Angeles,11711636,2001-01-01,20,0,498.199996,RRD,PO-200267,2016-08-18,USD,5708,1133,2208,2,11416,2266.0,4417,57004
96,11711636/New-York,New-York,11711636,2015-05-10,24,24,597.8399952000002,RRD,PO-200010,2015-05-08,USD,2,1133,2208,2,4,2266.0,4417,45592
97,11711636/New-York,New-York,11711636,2015-09-10,24,24,597.8399952000002,RRD,PO-200015,2015-08-25,USD,16,1133,2208,2,32,2266.0,4417,45620
98,11711636/New-York,New-York,11711636,2015-10-26,40,40,996.399992,RRD,PO-200018,2015-01-09,USD,290,1133,2208,2,580,2266.0,4417,46168
99,11711636/New-York,New-York,11711636,2015-10-30,10,10,249.099998,RRD,PO-200019,2015-09-09,USD,51,1133,2208,2,102,2266.0,4417,45690
100,11711636/New-York,New-York,11711636,2015-11-11,24,24,597.8399952000002,RRD,PO-200024,2015-09-22,USD,50,1133,2208,2,100,2266.0,4417,45688
101,11711636/New-York,New-York,11711636,2015-11-18,12,12,298.9199976000001,RRD,PO-200025,2015-09-24,USD,55,1133,2208,2,110,2266.0,4417,45698
102,11711636/New-York,New-York,11711636,2015-12-31,50,50,1245.49999,RRD,PO-200034,2015-10-22,USD,70,1133,2208,2,140,2266.0,4417,45728
103,11711636/New-York,New-York,11711636,2001-01-01,50,0,1245.49999,RRD,PO-EE-BO-Scranton,2015-10-30,USD,5415,1133,2208,2,10830,2266.0,4417,56418
104,11711636/New-York,New-York,11711636,2016-01-15,30,30,747.2999940000003,RRD,PO-200048,2015-05-11,USD,249,1133,2208,2,498,2266.0,4417,46086
105,11711636/New-York,New-York,11711636,2016-06-21,16,16,398.5599968,RRD,PO-200196,2016-04-25,USD,57,1133,2208,2,114,2266.0,4417,45702
106,11711636/New-York,New-York,11711636,2016-06-23,72,72,1793.519986,RRD,PO-200198,2016-04-26,USD,58,1133,2208,2,116,2266.0,4417,45704
107,11711636/New-York,New-York,11711636,2016-08-29,24,24,597.8399952000002,RRD,PO-200232,2016-06-30,USD,60,1133,2208,2,120,2266.0,4417,45708
108,11711636/New-York,New-York,11711636,2016-07-10,80,0,1992.799984,RRD,PO-200261,2016-11-08,USD,121,1133,2208,2,242,2266.0,4417,45830
109,11711636/Chicago,Chicago,11711636,2015-12-22,12,12,298.9199976000001,RRD,PO-200044,2015-10-30,USD,53,1133,2208,2,106,2266.0,4417,45694
110,11711636/Chicago,Chicago,11711636,2015-12-31,12,12,298.9199976000001,RRD,PO-200052,2015-12-11,USD,20,1133,2208,2,40,2266.0,4417,45628
111,11711636/Chicago,Chicago,11711636,2016-11-03,10,10,249.099998,RRD,PO-200100,2016-11-01,USD,2,1133,2208,2,4,2266.0,4417,45592
112,11711636/Chicago,Chicago,11711636,2016-07-26,78,78,1942.979984,RRD,PO-200200,2016-03-05,USD,143,1133,2208,2,286,2266.0,4417,45874
113,11711636/Chicago,Chicago,11711636,2001-01-01,10,0,249.099998,RRD,PO-200290,2016-09-28,USD,5749,1133,2208,2,11498,2266.0,4417,57086
114,11941800/Los Angeles,Los Angeles,11941800,2001-01-01,40,0,996.399992,Drecom,PO-EE-BO-Atlanta,2015-10-30,GBP,5415,1133,2208,2,10830,2266.0,4417,56418
115,11941800/Los Angeles,Los Angeles,11941800,2016-06-21,16,16,398.5599968,Drecom,PO-200069,2015-11-25,GBP,209,1133,2208,2,418,2266.0,4417,46006
116,11941800/Los Angeles,Los Angeles,11941800,2001-01-01,20,0,498.199996,Drecom,PO-200267,2016-08-18,GBP,5708,1133,2208,2,11416,2266.0,4417,57004
117,11941800/New-York,New-York,11941800,2015-05-10,24,24,597.8399952000002,Drecom,PO-200010,2015-05-08,GBP,2,1133,2208,2,4,2266.0,4417,45592
118,11941800/New-York,New-York,11941800,2015-09-10,24,24,597.8399952000002,Drecom,PO-200015,2015-08-25,GBP,16,1133,2208,2,32,2266.0,4417,45620
119,11941800/New-York,New-York,11941800,2015-10-26,40,40,996.399992,Drecom,PO-200018,2015-01-09,GBP,290,1133,2208,2,580,2266.0,4417,46168
120,11941800/New-York,New-York,11941800,2015-10-30,30,30,747.2999940000003,Drecom,PO-200019,2015-09-09,GBP,51,1133,2208,2,102,2266.0,4417,45690
121,11941800/New-York,New-York,11941800,2015-11-11,24,24,597.8399952000002,Drecom,PO-200024,2015-09-22,GBP,50,1133,2208,2,100,2266.0,4417,45688
122,11941800/New-York,New-York,11941800,2015-11-18,12,12,298.9199976000001,Drecom,PO-200025,2015-09-24,GBP,55,1133,2208,2,110,2266.0,4417,45698
123,11941800/New-York,New-York,11941800,2015-12-31,50,50,1245.49999,Drecom,PO-200034,2015-10-22,GBP,70,1133,2208,2,140,2266.0,4417,45728
124,11941800/New-York,New-York,11941800,2001-01-01,50,0,1245.49999,Drecom,PO-EE-BO-Scranton,2015-10-30,GBP,5415,1133,2208,2,10830,2266.0,4417,56418
125,11941800/New-York,New-York,11941800,2016-01-15,30,30,747.2999940000003,Drecom,PO-200048,2015-05-11,GBP,249,1133,2208,2,498,2266.0,4417,46086
126,11941800/New-York,New-York,11941800,2016-06-21,16,16,398.5599968,Drecom,PO-200196,2016-04-25,GBP,57,1133,2208,2,114,2266.0,4417,45702
127,11941800/New-York,New-York,11941800,2016-06-23,72,72,1793.519986,Drecom,PO-200198,2016-04-26,GBP,58,1133,2208,2,116,2266.0,4417,45704
128,11941800/New-York,New-York,11941800,2016-08-29,24,24,597.8399952000002,Drecom,PO-200232,2016-06-30,GBP,60,1133,2208,2,120,2266.0,4417,45708
129,11941800/New-York,New-York,11941800,2016-07-10,80,0,1992.799984,Drecom,PO-200261,2016-11-08,GBP,121,1133,2208,2,242,2266.0,4417,45830
130,11941800/Chicago,Chicago,11941800,2015-12-22,12,12,298.9199976000001,Drecom,PO-200044,2015-10-30,GBP,53,1133,2208,2,106,2266.0,4417,45694
131,11941800/Chicago,Chicago,11941800,2015-12-31,12,12,298.9199976000001,Drecom,PO-200052,2015-12-11,GBP,20,1133,2208,2,40,2266.0,4417,45628
132,11941800/Chicago,Chicago,11941800,2016-11-03,10,10,249.099998,Drecom,PO-200100,2016-11-01,GBP,2,1133,2208,2,4,2266.0,4417,45592
133,11941800/Chicago,Chicago,11941800,2016-07-26,78,78,1942.979984,Drecom,PO-200200,2016-03-05,GBP,143,1133,2208,2,286,2266.0,4417,45874
134,11941800/Chicago,Chicago,11941800,2001-01-01,10,0,249.099998,Drecom,PO-200290,2016-09-28,GBP,5749,1133,2208,2,11498,2266.0,4417,57086
135,11711100/Los Angeles,Los Angeles,11711100,2001-01-01,24,0,335.28000719999994,Office First,PO-200277,2016-08-31,USD,5721,1981,2803,2,11442,3963.111111111111,5607,56358
136,11711100/New-York,New-York,11711100,2015-12-31,36,36,502.9200108,Office First,PO-200034,2015-10-22,USD,70,1981,2803,2,140,3963.111111111111,5607,45056
137,11711100/New-York,New-York,11711100,2016-12-04,36,36,502.9200108,Office First,PO-200113,2016-01-20,USD,319,1981,2803,2,638,3963.111111111111,5607,45554
138,11711100/New-York,New-York,11711100,2016-11-08,60,60,838.200018,Office First,PO-200230,2016-06-21,USD,140,1981,2803,2,280,3963.111111111111,5607,45196
139,11711100/New-York,New-York,11711100,2001-01-01,24,0,335.28000719999994,Office First,PO-200278,2016-08-09,USD,5699,1981,2803,2,11398,3963.111111111111,5607,56314
140,11711100/New-York,New-York,11711100,2001-01-01,24,0,335.28000719999994,Office First,PO-200280,2016-09-14,USD,5735,1981,2803,2,11470,3963.111111111111,5607,56386
141,11711100/Chicago,Chicago,11711100,2016-11-03,12,12,167.64000359999997,Office First,PO-200100,2016-11-01,USD,2,1981,2803,2,4,3963.111111111111,5607,44920
142,11711100/Chicago,Chicago,11711100,2016-06-05,12,12,167.64000359999997,Office First,PO-200160,2016-03-15,USD,82,1981,2803,2,164,3963.111111111111,5607,45080
143,11711100/Chicago,Chicago,11711100,2016-03-08,12,12,167.64000359999997,Office First,PO-200206,2016-05-13,USD,66,1981,2803,2,132,3963.111111111111,5607,45048
144,10595489/Los Angeles,Los Angeles,10595489,2015-05-08,18,18,681.1200036,SuperSupply,102196,2015-05-27,EUR,19,670,1681,2,38,1340.0,3362,39816
145,10595489/Los Angeles,Los Angeles,10595489,2016-06-21,12,12,454.0800024,SuperSupply,PO-200069,2015-11-25,EUR,209,670,1681,2,418,1340.0,3362,40196
146,10595489/Los Angeles,Los Angeles,10595489,2016-12-09,20,0,756.8000040000003,SuperSupply,PO-200236,2016-07-13,EUR,149,670,1681,2,298,1340.0,3362,40076
147,10595489/New-York,New-York,10595489,2015-05-08,18,18,681.1200036,SuperSupply,102197,2015-05-27,EUR,19,670,1681,2,38,1340.0,3362,39816
148,10595489/New-York,New-York,10595489,2015-05-10,70,70,2648.800014,SuperSupply,PO-200011,2015-12-08,EUR,212,670,1681,2,424,1340.0,3362,40202
149,10595489/New-York,New-York,10595489,2015-11-18,30,30,1135.200006,SuperSupply,PO-200025,2015-09-24,EUR,55,670,1681,2,110,1340.0,3362,39888
150,10595489/New-York,New-York,10595489,2016-12-02,22,22,832.4800044,SuperSupply,PO-200087,2015-12-17,EUR,351,670,1681,2,702,1340.0,3362,40480
151,10595489/New-York,New-York,10595489,2016-05-04,26,26,983.8400052000001,SuperSupply,PO-200112,2016-01-20,EUR,105,670,1681,2,210,1340.0,3362,39988
152,10595489/New-York,New-York,10595489,2016-12-04,14,14,529.7600027999998,SuperSupply,PO-200126,2016-01-28,EUR,311,670,1681,2,622,1340.0,3362,40400
153,10595489/New-York,New-York,10595489,2016-06-17,34,34,1286.560007,SuperSupply,PO-200191,2016-04-19,EUR,59,670,1681,2,118,1340.0,3362,39896
154,10595489/New-York,New-York,10595489,2016-06-23,60,60,2270.400012,SuperSupply,PO-200198,2016-04-26,EUR,58,670,1681,2,116,1340.0,3362,39894
155,10595489/New-York,New-York,10595489,2016-11-08,60,60,2270.400012,SuperSupply,PO-200229,2016-06-17,EUR,144,670,1681,2,288,1340.0,3362,40066
156,10595489/New-York,New-York,10595489,2001-01-01,14,0,529.7600027999998,SuperSupply,PO-200280,2016-09-14,EUR,5735,670,1681,2,11470,1340.0,3362,51248
157,10595489/Chicago,Chicago,10595489,2015-05-08,18,18,681.1200036,SuperSupply,102195,2015-05-27,EUR,19,670,1681,2,38,1340.0,3362,39816
158,10595489/Chicago,Chicago,10595489,2001-01-01,60,0,2270.400012,SuperSupply,PO-EE-BO-Reno,2015-10-30,EUR,5415,670,1681,2,10830,1340.0,3362,50608
159,10595489/Chicago,Chicago,10595489,2016-01-28,14,14,529.7600027999998,SuperSupply,PO-200085,2015-12-17,EUR,42,670,1681,2,84,1340.0,3362,39862
160,10595489/Chicago,Chicago,10595489,2016-04-04,10,10,378.40000200000003,SuperSupply,PO-200125,2016-01-28,EUR,67,670,1681,2,134,1340.0,3362,39912
161,10595489/Chicago,Chicago,10595489,2016-11-05,40,40,1513.6000080000001,SuperSupply,PO-200172,2016-03-24,EUR,226,670,1681,2,452,1340.0,3362,40230
162,10595489/Chicago,Chicago,10595489,2016-06-20,10,10,378.40000200000003,SuperSupply,PO-200192,2016-04-19,EUR,62,670,1681,2,124,1340.0,3362,39902
163,10595489/Chicago,Chicago,10595489,2016-07-26,30,30,1135.200006,SuperSupply,PO-200200,2016-03-05,EUR,143,670,1681,2,286,1340.0,3362,40064
164,10678449/Los Angeles,Los Angeles,10678449,2016-04-10,20,0,661.200028,SuperSupply,PO-200244,2016-07-26,USD,107,1988,2750,2,214,3976.666666666666,5501,30740
